question,answer
학과의 계열은 뭔가요?,각 학과에서 배우는 학문의 특성과 성격에 따라 따라 큰 틀로 구분한 것을 말합니다. 총 28개의 학과가 3개의 계열로 나뉘어져 있습니다.
학과 계열은 어떤게 있나요?,"공학계열, 인문사회계열, 예능계열으로 나누어 집니다."
공학계열은 어떤 학과가 있나요?,"기계공학과, 기계설계공학과, 메카트로닉스공학과, 조선기계공학과, 항공기계공학과, 자동차공학과, 전기공학과, 전자공학과, 정보통신공학과, 컴퓨터정보공학과, 컴퓨터시스템공학과, 건설환경공학과, 공간정보빅데이터학과, 건축학과, 실내건축학과, 화학생명공학과, 재료공학과, 반도체기계정비학과, 디지털마케팅공학과로 총 19개의 학과가 속해있습니다."
인문사회계열은 어떤 학과가 있나요?,"항공운항과, 항공경영학과, 관광경영학과, 경영비서학과, 호텔경영학과, 물류시스템학과로 총 6개의 학과가 속해있습니다."
예능계열은 어떤 학과가 있나요?,"산업디자인학과, 패션디자인학과, 스포츠헬스케어학과로 총 3개의 학과가 속해있습니다."
입학전형은 어떤게 있나요?,"일반전형, 정원내 특별전형, 정원외 특별전형으로 총 3가지의 입학전형이 있습니다."
일반전형은 뭔가요?,"정시 모집시기에 지원하는 전형으로써, 수능성적을 바탕으로 입학을 지원하는 전형입니다."
정원내 특별전형은 뭔가요?,"수시 모집시기에 지원하는 전형으로써, 일반고 전형, 특성화고 전형, 어학 특기자 전형으로 3가지의 세부 전형을 포함하고 있습니다. 수시 1차와 수시 2차 모집시기에 지원 가능합니다."
정원외 특별전형은 뭔가요?,"수시와 정시 모집시기에 지원하는 전형으로써, 농어촌출신자, 수급자 및 차상위, 재외국민 및 외국인, 북한이탈주민, 전문대학 이상 졸업자 전형을 포함하고 있습니다. 일부 세부 전형은 수시 2차에만 지원 할 수 있으니 유의하시기 바랍니다."
일반고 전형은 뭔가요?,"수시 1차와 수시 2차 모집시기에 지원 가능하며, 일반과정 졸업(예정)자나 과학고, 외국어고, 국제고 졸업(예정)자, 검정고시 출신자가 지원할 수 있는 전형으로, 정확한 표현은 다음과 같습니다. 1 일반고(인문계)의 일반과정 졸업(예정)자 2 종합고, 학력인정평생교육시설, 대안학교 등의 일반과정 졸업(예정)자, 일반고 졸업(예정)자 중 위탁직업교육을 이수한 경우와 중점교육(체육, 음악, 미술 등)을 이수한 경우 3 특수목적고의 과학고, 국제고, 외국어고 졸업(예정)자 4. 검정고시 출신자"
정원내 특별전형에서 일반고 전형은 뭔가요?,"수시 1차와 수시 2차 모집시기에 지원 가능하며, 일반과정 졸업(예정)자나 과학고, 외국어고, 국제고 졸업(예정)자, 검정고시 출신자가 지원할 수 있는 전형으로, 정확한 표현은 다음과 같습니다. 1 일반고(인문계)의 일반과정 졸업(예정)자 2 종합고, 학력인정평생교육시설, 대안학교 등의 일반과정 졸업(예정)자, 일반고 졸업(예정)자 중 위탁직업교육을 이수한 경우와 중점교육(체육, 음악, 미술 등)을 이수한 경우 3 특수목적고의 과학고, 국제고, 외국어고 졸업(예정)자 4. 검정고시 출신자"
일반고 전형의 전형 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
일반고 전형의 평가 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
정원내 특별전형에서 일반고 전형의 평가 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
정원내 특별전형에서 일반고 전형의 전형 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
특성화고 전형은 뭔가요?,"수시 1차와 수시 2차 모집시기에 지원 가능하며, 전문과정 졸업(예정)자나  종합고, 학력인정평생교육시설이나 대안학교 등의 전문과정 졸업(예정)자, 예술고, 체육고, 마이스터고 졸업(예정)자가 지원할 수 있는 전형입니다. 상기 언급한 다른 유형의 고교는 지원할 수 없으니 유의하시기 바랍니다."
정원내 특별전형에서 특성화고 전형은 뭔가요?,"수시 1차와 수시 2차 모집시기에 지원 가능하며, 전문과정 졸업(예정)자나  종합고, 학력인정평생교육시설이나 대안학교 등의 전문과정 졸업(예정)자, 예술고, 체육고, 마이스터고 졸업(예정)자가 지원할 수 있는 전형입니다. 상기 언급한 다른 유형의 고교는 지원할 수 없으니 유의하시기 바랍니다."
특성화고 전형의 전형 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
특성화고 전형의 평가 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
정원내 특별전형에서 특성화고 전형의 평가 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
정원내 특별전형에서 특성화고 전형의 전형 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다."
어학 특기자 전형은 뭔가요?,"수시 1차와 수시 2차 모집시기에 지원 가능하며, 일정 조건 이상의 어학 성적 + 고등학교 졸업(예정)자 또는 법령에 의하여 이와 동등 이상의 학력이 있다고 인정을 가진 자가 지원할 수 있는 전형입니다. 어학 특기자 전형은 항공기계공학과와 항공운항과만 지원할 수 있으며, 영어일어 세부전형이 있습니다. 지원하려는 학과에 따라 요구되는 어학 성적 조건이 다르고, 성적은 다음과 같습니다. 항공기계공학과: TOEIC[600점 이상], TOEIC SPEAKING[120점 이상], TOEFL(iBT)[65점 이상], (New)TEPS[258점 이상], JPT[600점 이상] 항공운항과: TOEIC[700점 이상], TOEIC SPEAKING[130점 이상], TOEFL(iBT)[75점 이상], (New)TEPS[300점 이상], JPT[700점 이상]  원서접수 마감일을 기준으로 유효한 어학 성적만을 인정하며, 외국계고교 졸업자는 지원할 수 있으나 졸업예정자는 지원할 수 없을음 유의하시기 바랍니다."
어학 특기 전형은 뭔가요?,"수시 1차와 수시 2차 모집시기에 지원 가능하며, 일정 조건 이상의 어학 성적 + 고등학교 졸업(예정)자 또는 법령에 의하여 이와 동등 이상의 학력이 있다고 인정을 가진 자가 지원할 수 있는 전형입니다. 어학 특기자 전형은 항공기계공학과와 항공운항과만 지원할 수 있으며, 영어일어 세부전형이 있습니다. 지원하려는 학과에 따라 요구되는 어학 성적 조건이 다르고, 성적은 다음과 같습니다. 항공기계공학과: TOEIC[600점 이상], TOEIC SPEAKING[120점 이상], TOEFL(iBT)[65점 이상], (New)TEPS[258점 이상], JPT[600점 이상] 항공운항과: TOEIC[700점 이상], TOEIC SPEAKING[130점 이상], TOEFL(iBT)[75점 이상], (New)TEPS[300점 이상], JPT[700점 이상]  원서접수 마감일을 기준으로 유효한 어학 성적만을 인정하며, 외국계고교 졸업자는 지원할 수 있으나 졸업예정자는 지원할 수 없을음 유의하시기 바랍니다."
정원내 특별전형에서 어학 특기자 전형은 뭔가요?,"수시 1차와 수시 2차 모집시기에 지원 가능하며, 일정 조건 이상의 어학 성적 + 고등학교 졸업(예정)자 또는 법령에 의하여 이와 동등 이상의 학력이 있다고 인정을 가진 자가 지원할 수 있는 전형입니다. 어학 특기자 전형은 항공기계공학과와 항공운항과만 지원할 수 있으며, 영어일어 세부전형이 있습니다. 지원하려는 학과에 따라 요구되는 어학 성적 조건이 다르고, 성적은 다음과 같습니다. 항공기계공학과: TOEIC[600점 이상], TOEIC SPEAKING[120점 이상], TOEFL(iBT)[65점 이상], (New)TEPS[258점 이상], JPT[600점 이상] 항공운항과: TOEIC[700점 이상], TOEIC SPEAKING[130점 이상], TOEFL(iBT)[75점 이상], (New)TEPS[300점 이상], JPT[700점 이상]  원서접수 마감일을 기준으로 유효한 어학 성적만을 인정하며, 외국계고교 졸업자는 지원할 수 있으나 졸업예정자는 지원할 수 없을음 유의하시기 바랍니다."
어학 특기자 전형의 전형 방법은 어떻게 되나요?,"항공기계공학과는 서류 100%로 평가하며, 항공운항과는 면접 100%로 평가하고 있습니다."
어학 특기자 전형의 평가 방법은 어떻게 되나요?,"항공기계공학과는 서류 100%로 평가하며, 항공운항과는 면접 100%로 평가하고 있습니다."
정원내 특별전형에서 어학 특기자 전형의 평가 방법은 어떻게 되나요?,"항공기계공학과는 서류 100%로 평가하며, 항공운항과는 면접 100%로 평가하고 있습니다."
정원내 특별전형에서 어학 특기자 전형의 전형 방법은 어떻게 되나요?,"항공기계공학과는 서류 100%로 평가하며, 항공운항과는 면접 100%로 평가하고 있습니다."
일반전형은 뭔가요?,"정시 모집시기에 지원 가능하며, 고등학교 졸업(예정)자 또는 법령에 의하여 이와 동등이상의 학력이 있다고 인정된 자 + 2024학년도 수능 응시자가 지원 가능한 전형입니다."
일반전형의 전형 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
일반전형의 평가 방법은 어떻게 되나요?,"공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
일반고 전형과 일반전형은 다른가요?,"일반고 전형은 수시 1, 2차 모집시기에 수시 성적으로 지원하는 전형으로써, 수시 > 정원내 특별전형에 속하므로 일반 전형과는 다릅니다. 일반전형은 정시 모집시기에 정시 성적으로 지원하는 전형입니다."
입학 시 면접을 시행하는 학과가 있나요?,"2023년 기준, 항공운항과, 항공경영학과, 관광경영학과, 경영비서학과, 호텔경영학과, 패션디자인학과가 시행하고 있습니다."
수급자 및 차상위 전형은 뭔가요?,"수사 2차와 정시 모집기간에 지원하는 전형으로써, 「국민기초생활보장법」법령에 따른 기초생활수급자 및 차상위계층자 본인 혹은 자녀이면서 고등학교 졸업(예정)자인 자가 지원하는 전형입니다."
정원외 특별전형에서 수급자 및 차상위 전형은 뭔가요?,"수사 2차와 정시 모집기간에 지원하는 전형으로써, 「국민기초생활보장법」법령에 따른 기초생활수급자 및 차상위계층자 본인 혹은 자녀이면서 고등학교 졸업(예정)자인 자가 지원하는 전형입니다."
수급자 전형은 뭔가요?,"수사 2차와 정시 모집기간에 지원하는 전형으로써, 「국민기초생활보장법」법령에 따른 기초생활수급자 및 차상위계층자 본인 혹은 자녀이면서 고등학교 졸업(예정)자인 자가 지원하는 전형입니다."
차상위 전형은 뭔가요?,"수사 2차와 정시 모집기간에 지원하는 전형으로써, 「국민기초생활보장법」법령에 따른 기초생활수급자 및 차상위계층자 본인 혹은 자녀이면서 고등학교 졸업(예정)자인 자가 지원하는 전형입니다."
수급자 및 차상위 전형의 평가 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
수급자 및 차상위 전형의 전형 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
정원외 특별전형에서 수급자 및 차상위 전형의 평가 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
정원외 특별전형에서 수급자 및 차상위 전형의 전형 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
수급자 전형의 평가 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
수급자 전형의 전형 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
차상위 전형의 평가 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
차상위 전형의 전형 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
농어촌 전형은 뭔가요?,"수시 2차와 정시 모집시기에 지원하는 전형으로써, 다음중 하나의 유형에 해당하는 자가 지원하는 전형입니다. 1. 농어촌(읍･면)지역 또는 도서·벽지 지역 소재 중·고등학교의 교육과정(6년)을 연속으로 이수했으며 재학기간 중 본인 및 부·모 모두가 농어촌(읍･면)지역 또는 도서·벽지 지역에 거주한 자  2. 농어촌(읍･면)지역 또는 도서·벽지 지역 소재 초·중·고등학교의 전 교육과정(12년)을 연속으로 이수했으며 재학기간 중 본인이 농어촌(읍･면)지역 또는 도서·벽지 지역에 거주한 자  검정고시 및 특수목적고 출신자는 지원 불가합니다. "
농어촌 출신 전형은 뭔가요?,"수시 2차와 정시 모집시기에 지원하는 전형으로써, 다음중 하나의 유형에 해당하는 자가 지원하는 전형입니다. 1. 농어촌(읍･면)지역 또는 도서·벽지 지역 소재 중·고등학교의 교육과정(6년)을 연속으로 이수했으며 재학기간 중 본인 및 부·모 모두가 농어촌(읍･면)지역 또는 도서·벽지 지역에 거주한 자  2. 농어촌(읍･면)지역 또는 도서·벽지 지역 소재 초·중·고등학교의 전 교육과정(12년)을 연속으로 이수했으며 재학기간 중 본인이 농어촌(읍･면)지역 또는 도서·벽지 지역에 거주한 자  검정고시 및 특수목적고 출신자는 지원 불가합니다. "
정원외 특별전형에서 농어촌 출신 전형은 뭔가요?,"수시 2차와 정시 모집시기에 지원하는 전형으로써, 다음중 하나의 유형에 해당하는 자가 지원하는 전형입니다. 1. 농어촌(읍･면)지역 또는 도서·벽지 지역 소재 중·고등학교의 교육과정(6년)을 연속으로 이수했으며 재학기간 중 본인 및 부·모 모두가 농어촌(읍･면)지역 또는 도서·벽지 지역에 거주한 자  2. 농어촌(읍･면)지역 또는 도서·벽지 지역 소재 초·중·고등학교의 전 교육과정(12년)을 연속으로 이수했으며 재학기간 중 본인이 농어촌(읍･면)지역 또는 도서·벽지 지역에 거주한 자  검정고시 및 특수목적고 출신자는 지원 불가합니다. "
농어촌 전형의 전형 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
농어촌 전형의 평가 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
농어촌 출신 전형의 평가 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
농어촌 출신 전형희 전형 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
정원외 특별전형에서 농어촌 출신 전형의 평가 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
정원외 특별전형에서 농어촌 출신 전형의 전형 방법은 어떻게 되나요?,"수시 2차에 해당 전형으로 지원시, 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 학생부 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 학생부 40% + 면접 60%로 평가하고 있습니다. 정시 모집기간에 해당 전형으로 지원시 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 수능 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 수능 40% + 면접 60%로 평가하고 있습니다."
전문대이상 졸업자 전형은 뭔가요?,"수시 1차와 2차, 정시 모집시기에 지원하는 전형으로써, 전문대학 또는 대학교 졸업(예정)자가 지원하는 전형입니다. 다음과 같은 조건을 만족해야 합니다. 1. 4년제 대학(산업대학, 교육대학, 원격대학 및 이에 준하는 학력인정 학교)에서 2학년 또는 3학년 이상의 교육과정을 이수한 자로 총 취득학점 80학점 이상인 자 2. 전문대 수료자인 경우 3년제를 수료하지 않은 자 3. 해외대학 졸업예정자가 아닌 자 (졸업자는 가능)  위의 조건을 만족한다면 출신학과와 상관없이 지원이 가능합니다."
정원외 특별전형에서 전문대이상 졸업자 전형은 뭔가요?,"수시 1차와 2차, 정시 모집시기에 지원하는 전형으로써, 전문대학 또는 대학교 졸업(예정)자가 지원하는 전형입니다. 다음과 같은 조건을 만족해야 합니다. 1. 4년제 대학(산업대학, 교육대학, 원격대학 및 이에 준하는 학력인정 학교)에서 2학년 또는 3학년 이상의 교육과정을 이수한 자로 총 취득학점 80학점 이상인 자 2. 전문대 수료자인 경우 3년제를 수료하지 않은 자 3. 해외대학 졸업예정자가 아닌 자 (졸업자는 가능)  위의 조건을 만족한다면 출신학과와 상관없이 지원이 가능합니다."
전문대이상 졸업자 전형의 평가 방법은 어떻게 되나요?,"수시 2차와 정시 모두 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 서류 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 면접 100%로 평가하고 있습니다."
전문대이상 졸업자 전형의 전형 방법은 어떻게 되나요?,"수시 2차와 정시 모두 공학계열 학과와 산업디자인학과, 물류시스템학과, 스포츠헬스케어학과는 서류 100%로 평가하며, 물류시스템학과를 제외한 인문사회계열 학과와 패션디자인학과는 면접 100%로 평가하고 있습니다."
