question,answer
메카트로닉스공학과 정시 전형 농어촌 전형의 예비번호는 어디까지 빠졌나요?,1번까지 빠졌습니다.
메카트로닉스공학과 정시 전형 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 2명으로, 경쟁률은 2:1 이었습니다."
"메카트로닉스공학과 정시 전형 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?",공개된 데이터가 없습니다.
메카트로닉스공학과 정시 전형 수급자 전형의 예비번호는 어디까지 빠졌나요?,공개된 데이터가 없습니다.
조선기계공학과 수시 1차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 41명, 지원인원은 150명으로, 경쟁률은 3.7:1 이었습니다."
"조선기계공학과 수시 1차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 3.8, 최저 6.6, 평균은 5.7 이었습니다."
조선기계공학과 수시 1차 일반고 전형의 예비번호는 어디까지 빠졌나요?,73번까지 빠졌습니다.
조선기계공학과 수시 1차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 14명, 지원인원은 50명으로, 경쟁률은 3.6:1 이었습니다."
"조선기계공학과 수시 1차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 2.9, 최저 6.7, 평균은 3.9 이었습니다."
조선기계공학과 수시 1차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,33번까지 빠졌습니다.
조선기계공학과 수시 2차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 19명, 지원인원은 87명으로, 경쟁률은 4.6:1 이었습니다."
"조선기계공학과 수시 2차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 4.2, 최저 6.9, 평균은 5.6 이었습니다."
조선기계공학과 수시 2차 일반고 전형의 예비번호는 어디까지 빠졌나요?,57번까지 빠졌습니다.
조선기계공학과 수시 2차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 8명, 지원인원은 24명으로, 경쟁률은 3.0:1 이었습니다."
"조선기계공학과 수시 2차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 3.7, 최저 4.6 평균은 4.0 이었습니다."
조선기계공학과 수시 2차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,5번까지 빠졌습니다.
조선기계공학과 수시 2차 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 1명으로, 경쟁률은 1:1 이었습니다."
"조선기계공학과 수시 2차 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","모집인원이 1명이었기 때문에 최고, 최저, 평균 모두 6.0 이었습니다."
조선기계공학과 수시 2차 농어촌 전형의 예비번호는 어디까지 빠졌나요?,예비번호가 없었습니다.
조선기계공학과 수시 2차 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 2명으로, 경쟁률은 2:1 이었습니다."
"조선기계공학과 수시 2차 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","모집인원이 1명이었기 때문에 최고, 최저, 평균 모두 4.6 이었습니다."
조선기계공학과 수시 2차 수급자 전형의 예비번호는 어디까지 빠졌나요?,예비번호가 없었습니다.
조선기계공학과 정시 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 9명, 지원인원은 77명으로, 경쟁률은 8.6:1 이었습니다."
"조선기계공학과 정시 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 141, 최저 102, 평균은 112 이었습니다."
조선기계공학과 정시 전형의 예비번호는 어디까지 빠졌나요?,25번까지 빠졌습니다.
조선기계공학과 정시 전형 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 0명 이었습니다."
"조선기계공학과 정시 전형 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?",모집된 인원이 없었습니다.
조선기계공학과 정시 전형 농어촌 전형의 예비번호는 어디까지 빠졌나요?,모집된 인원이 없었습니다.
조선기계공학과 정시 전형 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 1명으로, 경쟁률은 1:1 이었습니다."
"조선기계공학과 정시 전형 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","모집인원이 1명이었기 때문에 최고, 최저, 평균 모두 111 이었습니다."
조선기계공학과 정시 전형 수급자 전형의 예비번호는 어디까지 빠졌나요?,예비번호가 없었습니다.
항공기계공학과 수시 1차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 31명, 지원인원은 254명으로, 경쟁률은 8.2:1 이었습니다."
"항공기계공학과 수시 1차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 2.1, 최저 4.2, 평균은 3.5 이었습니다."
항공기계공학과 수시 1차 일반고 전형의 예비번호는 어디까지 빠졌나요?,99번까지 빠졌습니다.
항공기계공학과 수시 1차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 15명, 지원인원은 125명으로, 경쟁률은 8.3:1 이었습니다."
"항공기계공학과 수시 1차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 1.2, 최저 2.2, 평균은 1.9 이었습니다."
항공기계공학과 수시 1차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,38번까지 빠졌습니다.
항공기계공학과 수시 2차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 16명, 지원인원은 125명으로, 경쟁률은 7.8:1 이었습니다."
"항공기계공학과 수시 2차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 3.0, 최저 4.2, 평균은 3.6 이었습니다."
항공기계공학과 수시 2차 일반고 전형의 예비번호는 어디까지 빠졌나요?,54번까지 빠졌습니다.
항공기계공학과 수시 2차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 8명, 지원인원은 31명으로, 경쟁률은 3.9:1 이었습니다."
"항공기계공학과 수시 2차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 2.6, 최저 4.0 평균은 3.3 이었습니다."
항공기계공학과 수시 2차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,16번까지 빠졌습니다.
항공기계공학과 수시 2차 어학 특기자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 5명, 지원인원은 10명으로, 경쟁률은 2:1 이었습니다."
"항공기계공학과 수시 2차 어학 특기자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 845, 최저 745 평균은 798 이었습니다."
항공기계공학과 수시 2차 어학 특기자 전형의 예비번호는 어디까지 빠졌나요?,3번까지 빠졌습니다.
항공기계공학과 수시 2차 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 7명으로, 경쟁률은 7:1 이었습니다."
"항공기계공학과 수시 2차 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 3.2, 최저 4.5, 평균 3.8 이었습니다."
항공기계공학과 수시 2차 농어촌 전형의 예비번호는 어디까지 빠졌나요?,3번까지 빠졌습니다.
항공기계공학과 수시 2차 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 8명으로, 경쟁률은 8:1 이었습니다."
"항공기계공학과 수시 2차 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 2.5, 최저 3.6, 평균 3.0 이었습니다."
항공기계공학과 수시 2차 수급자 전형의 예비번호는 어디까지 빠졌나요?,2번까지 빠졌습니다.
항공기계공학과 정시 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 9명, 지원인원은 185명으로, 경쟁률은 20.6:1 이었습니다."
"항공기계공학과 정시 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 173, 최저 155, 평균은 164 이었습니다."
항공기계공학과 정시 전형의 예비번호는 어디까지 빠졌나요?,59번까지 빠졌습니다.
항공기계공학과 정시 전형 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 4명으로, 경쟁률은 4:1 이었습니다."
"항공기계공학과 정시 전형 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?",공개된 데이터가 없습니다.
항공기계공학과 정시 전형 농어촌 전형의 예비번호는 어디까지 빠졌나요?,공개된 데이터가 없습니다.
항공기계공학과 정시 전형 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 8명으로, 경쟁률은 8:1 이었습니다."
"항공기계공학과 정시 전형 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 127, 최저 84, 평균은 106 이었습니다."
항공기계공학과 정시 전형 수급자 전형의 예비번호는 어디까지 빠졌나요?,공개된 데이터가 없습니다.
자동차공학과 수시 1차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 42명, 지원인원은 311명으로, 경쟁률은 7.4:1 이었습니다."
"자동차공학과 수시 1차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 2.9, 최저 5.5, 평균은 4.7 이었습니다."
자동차공학과 수시 1차 일반고 전형의 예비번호는 어디까지 빠졌나요?,136번까지 빠졌습니다.
자동차공학과 수시 1차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 27명, 지원인원은 153명으로, 경쟁률은 5.7:1 이었습니다."
"자동차공학과 수시 1차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 1.9, 최저 3.9, 평균은 3.0 이었습니다."
자동차공학과 수시 1차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,63번까지 빠졌습니다.
자동차공학과 수시 2차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 20명, 지원인원은 91명으로, 경쟁률은 4.6:1 이었습니다."
"자동차공학과 수시 2차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 3.8, 최저 5.5, 평균은 4.9 이었습니다."
자동차공학과 수시 2차 일반고 전형의 예비번호는 어디까지 빠졌나요?,34번까지 빠졌습니다.
자동차공학과 수시 2차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 16명, 지원인원은 56명으로, 경쟁률은 3.5:1 이었습니다."
"자동차공학과 수시 2차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 2.6, 최저 4.3 평균은 3.4 이었습니다."
자동차공학과 수시 2차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,18번까지 빠졌습니다.
자동차공학과 수시 2차 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 3명으로, 경쟁률은 3:1 이었습니다."
"자동차공학과 수시 2차 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","모집인원이 1명이었기 때문에 최고, 최저, 평균 모두 5.7 이었습니다."
자동차공학과 수시 2차 농어촌 전형의 예비번호는 어디까지 빠졌나요?,예비번호가 없었습니다.
자동차공학과 수시 2차 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 3명, 지원인원은 9명으로, 경쟁률은 3:1 이었습니다."
"자동차공학과 수시 2차 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 3.5, 최저 4.0, 평균 3.8 이었습니다."
자동차공학과 수시 2차 수급자 전형의 예비번호는 어디까지 빠졌나요?,예비번호가 없었습니다.
자동차공학과 정시 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 12명, 지원인원은 151명으로, 경쟁률은 12.6:1 이었습니다."
"자동차공학과 정시 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 151, 최저 113, 평균은 127 이었습니다."
자동차공학과 정시 전형의 예비번호는 어디까지 빠졌나요?,공개된 데이터가 없습니다.
자동차공학과 정시 전형 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 2명으로, 경쟁률은 2:1 이었습니다."
"자동차공학과 정시 전형 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?",공개된 데이터가 없습니다.
자동차공학과 정시 전형 농어촌 전형의 예비번호는 어디까지 빠졌나요?,공개된 데이터가 없습니다.
자동차공학과 정시 전형 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 2명으로, 경쟁률은 2:1 이었습니다."
"자동차공학과 정시 전형 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","모집인원이 1명이었기 때문에 최고, 최저, 평균 모두 65 이었습니다."
자동차공학과 정시 전형 수급자 전형의 예비번호는 어디까지 빠졌나요?,예비번호가 없었습니다.
전기공학과 수시 1차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 42명, 지원인원은 259명으로, 경쟁률은 6.2:1 이었습니다."
"전기공학과 수시 1차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 2.6, 최저 4.4, 평균은 3.8 이었습니다."
전기공학과 수시 1차 일반고 전형의 예비번호는 어디까지 빠졌나요?,40번까지 빠졌습니다.
전기공학과 수시 1차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 27명, 지원인원은 269명으로, 경쟁률은 10:1 이었습니다."
"전기공학과 수시 1차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 1.0, 최저 2.4, 평균은 2.0 이었습니다."
전기공학과 수시 1차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,49번까지 빠졌습니다.
전기공학과 수시 2차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 18명, 지원인원은 122명으로, 경쟁률은 6.8:1 이었습니다."
"전기공학과 수시 2차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 3.0, 최저 4.2, 평균은 3.7 이었습니다."
전기공학과 수시 2차 일반고 전형의 예비번호는 어디까지 빠졌나요?,28번까지 빠졌습니다.
전기공학과 수시 2차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 17명, 지원인원은 92명으로, 경쟁률은 5.4:1 이었습니다."
"전기공학과 수시 2차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 1.7, 최저 2.7 평균은 2.2 이었습니다."
전기공학과 수시 2차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,18번까지 빠졌습니다.
전기공학과 수시 2차 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 2명으로, 경쟁률은 2:1 이었습니다."
"전기공학과 수시 2차 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?",공개된 데이터가 없습니다.
전기공학과 수시 2차 농어촌 전형의 예비번호는 어디까지 빠졌나요?,공개된 데이터가 없습니다.
전기공학과 수시 2차 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 3명, 지원인원은 11명으로, 경쟁률은 3.7:1 이었습니다."
"전기공학과 수시 2차 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 3.0, 최저 4.9, 평균 3.8 이었습니다."
전기공학과 수시 2차 수급자 전형의 예비번호는 어디까지 빠졌나요?,4번까지 빠졌습니다.
전기공학과 정시 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 12명, 지원인원은 144명으로, 경쟁률은 12:1 이었습니다."
"전기공학과 정시 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 169, 최저 146, 평균은 132 이었습니다."
전기공학과 정시 전형의 예비번호는 어디까지 빠졌나요?,42번까지 빠졌습니다.
전기공학과 정시 전형 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 2명으로, 경쟁률은 2:1 이었습니다."
"전기공학과 정시 전형 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","모집인원이 1명이었기 때문에 최고, 최저, 평균 모두 77 이었습니다."
전기공학과 정시 전형 농어촌 전형의 예비번호는 어디까지 빠졌나요?,예비번호가 없었습니다.
전기공학과 정시 전형 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 4명으로, 경쟁률은 4:1 이었습니다."
"전기공학과 정시 전형 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 129, 최저 50, 평균 90 이었습니다."
전기공학과 정시 전형 수급자 전형의 예비번호는 어디까지 빠졌나요?,공개된 데이터가 없습니다.
정보통신공학과 수시 1차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 48명, 지원인원은 368명으로, 경쟁률은 7.7:1 이었습니다."
"정보통신공학과 수시 1차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 3.8, 최저 5.4, 평균은 4.9 이었습니다."
정보통신공학과 수시 1차 일반고 전형의 예비번호는 어디까지 빠졌나요?,102번까지 빠졌습니다.
정보통신공학과 수시 1차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 20명, 지원인원은 82명으로, 경쟁률은 4.1:1 이었습니다."
"정보통신공학과 수시 1차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 1.9, 최저 4.5, 평균은 3.4 이었습니다."
정보통신공학과 수시 1차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,49번까지 빠졌습니다.
정보통신공학과 수시 2차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 24명, 지원인원은 139명으로, 경쟁률은 5.8:1 이었습니다."
"정보통신공학과 수시 2차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 3.5, 최저 5.4, 평균은 4.7 이었습니다."
정보통신공학과 수시 2차 일반고 전형의 예비번호는 어디까지 빠졌나요?,58번까지 빠졌습니다.
정보통신공학과 수시 2차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 10명, 지원인원은 39명으로, 경쟁률은 3.9:1 이었습니다."
"정보통신공학과 수시 2차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 2.7, 최저 4.1 평균은 3.4 이었습니다."
정보통신공학과 수시 2차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,17번까지 빠졌습니다.
정보통신공학과 수시 2차 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 1명으로, 경쟁률은 1:1 이었습니다."
"정보통신공학과 수시 2차 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","모집인원이 1명이었기 때문에 최고, 최저, 평균 모두 5.2 이었습니다."
정보통신공학과 수시 2차 농어촌 전형의 예비번호는 어디까지 빠졌나요?,예비번호가 없었습니다.
정보통신공학과 수시 2차 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 3명, 지원인원은 7명으로, 경쟁률은 2.3:1 이었습니다."
"정보통신공학과 수시 2차 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 3.5, 최저 4.9, 평균 4.3 이었습니다."
정보통신공학과 수시 2차 수급자 전형의 예비번호는 어디까지 빠졌나요?,2번까지 빠졌습니다.
정보통신공학과 정시 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 12명, 지원인원은 174명으로, 경쟁률은 14.5:1 이었습니다."
"정보통신공학과 정시 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 183, 최저 130, 평균은 141 이었습니다."
정보통신공학과 정시 전형의 예비번호는 어디까지 빠졌나요?,41번까지 빠졌습니다.
정보통신공학과 정시 전형 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 1명으로, 경쟁률은 1:1 이었습니다."
"정보통신공학과 정시 전형 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","모집인원이 1명이었기 때문에 최고, 최저, 평균 모두 114 이었습니다."
정보통신공학과 정시 전형 농어촌 전형의 예비번호는 어디까지 빠졌나요?,예비번호가 없었습니다.
정보통신공학과 정시 전형 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 3명으로, 경쟁률은 3:1 이었습니다."
"정보통신공학과 정시 전형 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","모집인원이 1명이었기 때문에 최고, 최저, 평균 모두 95 이었습니다."
정보통신공학과 정시 전형 수급자 전형의 예비번호는 어디까지 빠졌나요?,예비번호가 없었습니다.
컴퓨터정보공학과 수시 1차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 40명, 지원인원은 268명으로, 경쟁률은 6.7:1 이었습니다."
"컴퓨터정보공학과 수시 1차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 1.5, 최저 4.6, 평균은 3.9 이었습니다."
컴퓨터정보공학과 수시 1차 일반고 전형의 예비번호는 어디까지 빠졌나요?,104번까지 빠졌습니다.
컴퓨터정보공학과 수시 1차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 15명, 지원인원은 111명으로, 경쟁률은 7.4:1 이었습니다."
"컴퓨터정보공학과 수시 1차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 1.4, 최저 3.0, 평균은 2.2 이었습니다."
컴퓨터정보공학과 수시 1차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,42번까지 빠졌습니다.
컴퓨터정보공학과 수시 2차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 20명, 지원인원은 132명으로, 경쟁률은 6.6:1 이었습니다."
"컴퓨터정보공학과 수시 2차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 2.5, 최저 4.2, 평균은 3.3 이었습니다."
컴퓨터정보공학과 수시 2차 일반고 전형의 예비번호는 어디까지 빠졌나요?,48번까지 빠졌습니다.
컴퓨터정보공학과 수시 2차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 7명, 지원인원은 52명으로, 경쟁률은 7.4:1 이었습니다."
"컴퓨터정보공학과 수시 2차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 1.8, 최저 2.9 평균은 2.5 이었습니다."
컴퓨터정보공학과 수시 2차 특성화고 전형의 예비번호는 어디까지 빠졌나요?,14번까지 빠졌습니다.
컴퓨터정보공학과 수시 2차 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 1명으로, 경쟁률은 1:1 이었습니다."
"컴퓨터정보공학과 수시 2차 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","모집인원이 1명이었기 때문에 최고, 최저, 평균 모두 5.7 이었습니다."
컴퓨터정보공학과 수시 2차 농어촌 전형의 예비번호는 어디까지 빠졌나요?,예비번호가 없었습니다.
컴퓨터정보공학과 수시 2차 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 2명, 지원인원은 8명으로, 경쟁률은 4.0:1 이었습니다."
"컴퓨터정보공학과 수시 2차 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 2.7, 최저 3.5, 평균 3.1 이었습니다."
컴퓨터정보공학과 수시 2차 수급자 전형의 예비번호는 어디까지 빠졌나요?,1번까지 빠졌습니다.
컴퓨터정보공학과 정시 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 9명, 지원인원은 248명으로, 경쟁률은 6.2:1 이었습니다."
"컴퓨터정보공학과 정시 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 170, 최저 147, 평균은 155 이었습니다."
컴퓨터정보공학과 정시 전형의 예비번호는 어디까지 빠졌나요?,78번까지 빠졌습니다.
컴퓨터정보공학과 정시 전형 농어촌 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 2명으로, 경쟁률은 2:1 이었습니다."
"컴퓨터정보공학과 정시 전형 농어촌 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 145, 최저 99, 평균은 122 이었습니다."
컴퓨터정보공학과 정시 전형 농어촌 전형의 예비번호는 어디까지 빠졌나요?,1번까지 빠졌습니다.
컴퓨터정보공학과 정시 전형 수급자 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 1명, 지원인원은 11명으로, 경쟁률은 11:1 이었습니다."
"컴퓨터정보공학과 정시 전형 수급자 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 91, 최저 77, 평균은 84 이었습니다."
컴퓨터정보공학과 정시 전형 수급자 전형의 예비번호는 어디까지 빠졌나요?,공개된 데이터가 없습니다.
전자공학과 수시 1차 일반고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 35명, 지원인원은 228명으로, 경쟁률은 6.5:1 이었습니다."
"전자공학과 수시 1차 일반고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 2.6, 최저 4.7, 평균은 4.0 이었습니다."
전자공학과 수시 1차 일반고 전형의 예비번호는 어디까지 빠졌나요?,88번까지 빠졌습니다.
전자공학과 수시 1차 특성화고 전형의 경쟁률은 어떻게 되나요?,"총 모집인원은 35명, 지원인원은 195명으로, 경쟁률은 5.6:1 이었습니다."
"전자공학과 수시 1차 특성화고 전형의 최고, 최저, 평균 성적은 어떻게 되나요?","최고 1.9, 최저 3.3, 평균은 2.6 이었습니다."
